CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,BOS_2012,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
17610753,11/30/2023 10:59:00 PM,12/01/2023 06:52:43 AM,12/01/2023 06:52:43 AM,Closed,Case Resolved,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,"80 SUMNER ST, SAN FRANCISCO, CA, 94103",SUMNER ST,6,South of Market,SOUTHERN,37.776009335565,-122.410199583614,"(37.77600934, -122.41019958)",Mobile/Open311,,6,32,1,10,34,9,8,2,28853,2,34,34,24,32,1,10,6,,1,6,,,2,,1,,,32
17610752,11/30/2023 10:56:00 PM,12/15/2023 08:08:00 AM,12/15/2023 08:08:00 AM,Closed,Case is Invalid,311 Supervisor Queue,Noise Report,mechanical_equipment,Noise Report - mechanical_equipment,"2521 VAN NESS AVE, SAN FRANCISCO, CA, 94109",VAN NESS AVE,2,Union Street,NORTHERN,37.798813,-122.424171,"(37.798813, -122.424171)",Web,,2,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
17610749,11/30/2023 10:44:00 PM,12/05/2023 03:23:00 PM,12/05/2023 03:23:00 PM,Closed,"Case is a Duplicate - Case is a duplicate and please refer to the Request No: 17398368.
DPH Environmental Health
Healthy Housing Program
415-252-3800",DPH - Environmental Health - Tobacco Queue,General Request - DPH,complaint,environmental_health_tobacco - complaint,"354 22ND AVE, SAN FRANCISCO, CA, 94121",22ND AVE,1,Outer Richmond,RICHMOND,0,0,"(0.0, 0.0)",Phone,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610745,11/30/2023 10:41:25 PM,12/01/2023 06:01:17 AM,12/01/2023 06:01:17 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"830 STOCKTON ST, SAN FRANCISCO, CA, 94108",STOCKTON ST,3,Chinatown,CENTRAL,37.793764098078,-122.407755637594,"(37.7937641, -122.40775564)",Mobile/Open311,,3,104,6,3,6,10,3,1,28857,1,4,4,5,104,,3,5,,,5,,,2,,,,,104
17610743,11/30/2023 10:38:00 PM,12/01/2023 01:38:17 PM,12/01/2023 01:38:17 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"623 VALENCIA ST, SAN FRANCISCO, CA, 94110",VALENCIA ST,9,Mission,MISSION,0,0,"(0.0, 0.0)",Phone,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
17610737,11/30/2023 10:36:57 PM,12/01/2023 06:01:10 AM,12/01/2023 06:01:10 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"635 FREDERICK ST, SAN FRANCISCO, CA, 94117",FREDERICK ST,8,Parnassus Heights,PARK,37.765978897527,-122.45551882325,"(37.7659789, -122.45551882)",Mobile/Open311,,5,110,7,11,14,11,15,8,29492,5,12,12,,110,,11,,,,,,,1,,,,,110
17610736,11/30/2023 10:35:00 PM,12/01/2023 08:19:00 AM,12/01/2023 08:19:00 AM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"3163 24TH ST, SAN FRANCISCO, CA, 94110",24TH ST,9,Mission,MISSION,37.752403564489,-122.415491332494,"(37.75240356, -122.41549133)",Mobile/Open311,,9,53,3,2,20,7,2,7,28859,4,19,19,,53,,2,,,3,,,,2,,3,,,53
17610731,11/30/2023 10:29:44 PM,12/01/2023 06:01:05 AM,12/01/2023 06:01:05 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"288 BEACH ST, SAN FRANCISCO, CA, 94133",BEACH ST,3,Fisherman's Wharf,CENTRAL,37.80759081248,-122.413802342603,"(37.80759081, -122.41380234)",Mobile/Open311,,3,99,6,3,23,10,3,1,308,1,23,23,,99,,3,,,,,2,,2,,,,,99
17610721,11/30/2023 10:06:11 PM,12/01/2023 06:00:56 AM,12/01/2023 06:00:56 AM,Closed,Case Resolved,Recology_Overflowing,Street and Sidewalk Cleaning,City_garbage_can_overflowing,City_garbage_can_overflowing,"11 HOWARD ST, SAN FRANCISCO, CA, 94105",HOWARD ST,6,Financial District,SOUTHERN,37.792089303568,-122.391233816858,"(37.7920893, -122.39123382)",Mobile/Open311,,6,108,1,10,8,9,6,2,28855,2,6,6,,108,,10,,,,,,,1,,,,,108
17610711,11/30/2023 09:59:05 PM,,11/30/2023 10:00:13 PM,Open,open,SF311 AI Routing Queue,Tree Maintenance,Trees - Damaging_Property_Roots,Lifted_sidewalk_tree_roots,"1360 TAYLOR ST, SAN FRANCISCO, CA, 94108",TAYLOR ST,3,Nob Hill,CENTRAL,37.794967111778,-122.412999070381,"(37.79496711, -122.41299907)",Mobile/Open311,,3,16,6,3,21,10,3,1,28857,1,21,21,,16,,3,,,,,,,1,,,,,16
