X,Y,Name
-111.9051488,33.3051061,Dutch Bros Coffee
-112.0134017,33.3045439,Dutch Bros Coffee
-111.9393856,33.3940341,Dutch Bros Coffee
-111.9260233,33.4169738,Dutch Bros Coffee
-111.8577202,33.3905907,Dutch Bros Coffee
-111.7893601,33.3591218,Dutch Bros Coffee
-112.0160107,33.4948355,Dutch Bros Coffee
-111.7558568,33.2838418,Dutch Bros Coffee
-111.7880163,33.4519962,Dutch Bros Coffee
-111.7370966,33.3948354,Dutch Bros Coffee
-112.0559919,33.5380062,Dutch Bros Coffee
-111.7219546,33.3255177,Dutch Bros Coffee
-112.0180307,33.6403341,Dutch Bros Coffee
-111.8967053,33.6273565,Dutch Bros Coffee
-111.9881435,33.6021762,Dutch Bros Coffee
-111.94524,33.6400045,Dutch Bros Coffee
-112.2633223,33.5366667,Dutch Bros Coffee
-111.9246431,33.6757557,Dutch Bros Coffee
-112.2369345,33.6113099,Dutch Bros Coffee
-112.3929516,33.452991,Dutch Bros Coffee
-112.2398999,33.6096523,Dutch Bros Coffee
-112.3635022,33.4863458,Dutch Bros Coffee
-111.9663373,33.7963381,Dutch Bros Coffee
-112.358275,33.6381566,Dutch Bros Coffee
-111.5570309,33.4156676,Dutch Bros Coffee
-111.9283636,33.3628433,Dutch Bros Coffee
-111.8249512,33.3629837,Dutch Bros Coffee
-112.0485645,33.063178,Dutch Bros Coffee
