OBJECTID,NUMBER,CODE,NAME,GSF,FACIL_NET,Shape_Leng,STATUS,GlobalID,Campus,Address,City,State,Zip,Cnstr__Yea,Historic,ORIG_FID,X,Y
1,P01,PS1,APACHE BLVD. PARKING STRUCTURE (APACHE & COLLEGE),434006,424887,1610.429839, ,{60216443-170E-4837-B0AB-CD4890644183},TEMPE CAMPUS,401 E. LEMON STREET,TEMPE,AZ,0,1986-01-01,N,1,-111.9340223,33.41548332
2,P02,PS2,TYLER STREET PARKING STRUCTURE (McALLISTER & TYLER),237238,228001,1205.914884, ,{BC995A49-F133-465B-B53A-8A7D6F06B18B},TEMPE CAMPUS,901 S. McALLISTER AVENUE,TEMPE,AZ,0,1987-01-01,N,2,-111.9282436,33.42071545
3,P03,PS3,10TH STREET PARKING STRUCTURE (MYRTLE AVENUE),157113,142778,1159.166973, ,{E485BEF6-FA19-4338-ACF2-EBB47E468FE1},TEMPE CAMPUS,901 S. MYRTLE AVENUE,TEMPE,AZ,0,1987-01-01,N,3,-111.9377655,33.42018803
4,P04,PS4,RURAL ROAD PARKING STRUCTURE (RURAL ROAD),711604,686052,2764.916881, ,{219226AD-9B95-43D4-8050-13C49DCD30CA},TEMPE CAMPUS,1100 S. RURAL ROAD,TEMPE,AZ,0,1989-01-01,N,4,-111.9272238,33.41766005
5,P05,PS5,STADIUM PARKING STRUCTURE (VETERANS WAY),445744,428042,1729.969398, ,{414C2A4D-EC2A-449B-8EE4-C9CD09EB0C59},TEMPE CAMPUS,401 E. VETERAN'S WAY,TEMPE,AZ,0,1989-01-01,N,5,-111.9330708,33.42402868
6,P06,PS6,UNIVERSITY TOWERS PARKING STRUCTURE (TOWERS),105250,94427,749.8962209, ,{DA7A549B-C1E5-4283-AFC8-2A357C70F817},TEMPE CAMPUS,214 E. SIXTH STREET,TEMPE,AZ,0,1986-07-01,N,6,-111.9361001,33.42472293
7,P07,PS7,PACKARD DRIVE SOUTH PARKING STRUCTURE (PACKARD & 6TH),557217,529793,1326.490217, ,{120C64ED-5FD2-45E8-A179-B69615AFB81C},TEMPE CAMPUS,555 S. PACKARD DR.,TEMPE,AZ,0,2004-01-01,N,7,-111.9287116,33.42550463
8,RP01,RP01,FULTON CENTER PARKING STRUCTURE,405083,378001,1096.951739, ,{9A441038-0487-4BA7-AA0E-6004EA0B8D16},TEMPE CAMPUS,717 S. COLLEGE AVENUE,TEMPE,AZ,0,2005-01-10,N,8,-111.9343201,33.4230279
9,RP02,RP02,BRICKYARD PARKING GARAGE,281432,265713,674.9944866, ,{436A3D1F-48DA-46F3-B02E-510E069EE4BD},TEMPE CAMPUS,699 S. MILL AVE.,TEMPE,AZ,0,2003-01-01,N,9,-111.9385628,33.42368946
10,RP03,VDSPS,VISTA DEL SOL PARKING STRUCTURE,489941,471573,1412.401287, ,{CE7609C4-3BFF-46F4-B033-1560C861BB6C},TEMPE CAMPUS,721 E. APACHE BLVD.,TEMPE,AZ,0,2008-08-01,N,10,-111.9288726,33.41212149
